Date,Time,Dir,WSMDir,WSK,WSMK,AvgTemp,AvgRh,AvgBP,Rain,AvgSR,Batt,SPanel
2001 Ene 01,0:00,315,320,8.5,11.4,18.1,54,1012.5,0,76,14.1,14.3
2001 Ene 01,0:10,317,299,9.4,13.1,17.6,55,1012.5,0,53, , 
2001 Ene 01,0:20,316,307,9.3,14.3,17.2,55,1012.6,0,40, , 
2001 Ene 01,0:30,327,322,7.5,9.7,16.7,56,1012.7,0,28, , 
2001 Ene 01,0:40,334,330,6.5,9.1,16.1,58,1012.8,0,13, , 
2001 Ene 01,0:50,326,315,6,8.5,15.6,62,1012.9,0,2, , 
2001 Ene 01,1:00,289,302,5.7,7.4,15,66,1013.1,0,-4, , 
2001 Ene 01,1:10,253,248,10.2,15.4,14.5,72,1013.5,0,-4, , 
2001 Ene 01,1:20,259,238,7.7,11.4,14.2,79,1013.6,0,-4, , 
2001 Ene 01,1:30,243,270,3,6.2,13.9,83,1013.7,0,-5, , 
2001 Ene 01,1:40,142,178,2.3,5.1,13.6,86,1013.9,0,-5, , 
2001 Ene 01,1:50,190,185,3.6,5.6,13.6,87,1014.1,0,-4, , 
2001 Ene 01,2:00,125,234,1.8,2.2,13.4,88,1014.4,0,-4, , 
2001 Ene 01,2:10,63,58,0,4.5,13.3,90,1014.6,0,-4, , 
2001 Ene 01,2:20,85,75,4.5,6.2,13.2,88,1014.7,0,-4, , 
2001 Ene 01,2:30,55,99,3.6,5.1,13.1,87,1014.8,0,-4, , 
2001 Ene 01,2:40,53,56,6.2,8.5,13.2,82,1014.8,0,-3, , 
2001 Ene 01,2:50,50,62,6.7,8.5,13.1,82,1014.9,0,-3, , 
2001 Ene 01,3:00,64,56,6.4,9.1,12.8,78,1015,0,-3,13.5,0
2001 Ene 01,3:10,59,52,6.5,8.5,12.5,78,1015,0,-3, , 
2001 Ene 01,3:20,60,58,6.7,8.5,12.6,76,1015,0,-3, , 
2001 Ene 01,3:30,54,53,6.5,7.9,12.6,74,1014.9,0,-3, , 
2001 Ene 01,3:40,45,51,4.7,6.8,12.4,73,1015,0,-4, , 
2001 Ene 01,3:50,51,56,5.1,6.8,12.2,72,1015,0,-4, , 
2001 Ene 01,4:00,54,53,4.4,5.6,12.2,73,1015,0,-4, , 
2001 Ene 01,4:10,51,58,4.9,6.2,12,72,1015,0,-4, , 
2001 Ene 01,4:20,60,73,3.5,5.1,11.7,73,1015,0,-4, , 
2001 Ene 01,4:30,61,49,3.3,4.5,11.4,73,1015.1,0,-4, , 
2001 Ene 01,4:40,87,69,2.8,4.5,11.2,70,1015.2,0,-4, , 
2001 Ene 01,4:50,62,71,3.5,6.2,11.2,71,1015.2,0,-4, , 
2001 Ene 01,5:00,63,64,4.7,7.4,11,69,1015.2,0,-4, , 
2001 Ene 01,5:10,53,58,4.1,5.1,10.8,70,1015.3,0,-4, , 
2001 Ene 01,5:20,58,64,3.3,5.1,10.7,70,1015.4,0,-4, , 
2001 Ene 01,5:30,50,61,4.5,6.2,10.5,71,1015.4,0,-4, , 
2001 Ene 01,5:40,55,51,4.4,7.4,10.7,69,1015.4,0,-4, , 
2001 Ene 01,5:50,66,54,4.9,7.4,10.6,66,1015.3,0,-4, , 
2001 Ene 01,6:00,55,58,5.6,10.2,10.4,66,1015.4,0,-4,13.3,0
2001 Ene 01,6:10,48,51,5.4,7.9,10.5,65,1015.3,0,-3, , 
2001 Ene 01,6:20,68,57,4.2,7.4,10.2,64,1015.2,0,-4, , 
2001 Ene 01,6:30,46,55,3.6,6.2,10,64,1015.3,0,-4, , 
2001 Ene 01,6:40,59,50,6.6,9.1,10.1,61,1015.2,0,-3, , 
2001 Ene 01,6:50,153,248,4.2,6.8,10.2,60,1015.3,0,-4, , 
2001 Ene 01,7:00,299,49,2.3,5.1,9.9,61,1015.3,0,-4, , 
2001 Ene 01,7:10,89,50,3.3,6.2,9.9,61,1015.3,0,-4, , 
2001 Ene 01,7:20,64,53,2.9,4.5,9.6,62,1015.3,0,-4, , 
2001 Ene 01,7:30,86,45,1.8,2.2,9.3,63,1015.4,0,-4, , 
2001 Ene 01,7:40,99,101,3,5.6,9.1,60,1015.4,0,-4, , 
2001 Ene 01,7:50,99,96,3.7,5.1,9.7,54,1015.3,0,-3, , 
2001 Ene 01,8:00,102,102,4.1,5.6,9.9,53,1015.4,0,-3, , 
2001 Ene 01,8:10,113,123,4.6,5.6,9.9,55,1015.5,0,-4, , 
2001 Ene 01,8:20,94,97,5.6,7.4,9.8,59,1015.6,0,-4, , 
2001 Ene 01,8:30,89,88,7.5,9.7,9.6,65,1015.6,0,-3, , 
2001 Ene 01,8:40,86,85,8.2,10.2,9.6,61,1015.5,0,-3, , 
2001 Ene 01,8:50,78,80,6.7,10.2,9.9,48,1015.5,0,-3, , 
2001 Ene 01,9:00,73,75,7.3,9.7,10.1,46,1015.4,0,-3,13.2,0
2001 Ene 01,9:10,72,76,8.8,12.5,10.4,47,1015.2,0,-2, , 
2001 Ene 01,9:20,81,72,10,14.9,11,43,1015.1,0,-2, , 
2001 Ene 01,9:30,81,81,7.8,12,11.2,41,1015.1,0,-2, , 
2001 Ene 01,9:40,70,62,4.9,7.9,11.4,39,1015,0,-3, , 
2001 Ene 01,9:50,88,82,5.2,8.5,11.5,39,1015,0,-3, , 
2001 Ene 01,10:00,80,79,3.9,6.8,11.8,38,1015,0,-3, , 
2001 Ene 01,10:10,78,96,4.4,6.2,11.9,36,1015,0,-3, , 
2001 Ene 01,10:20,78,93,3.8,6.2,12.1,37,1015.1,0,-3, , 
2001 Ene 01,10:30,33,68,2.7,4.5,11.6,40,1015.1,0,-3, , 
2001 Ene 01,10:40,201,328,2,3.3,11.3,39,1015.2,0,-3, , 
2001 Ene 01,10:50,41,57,3,5.1,11.2,40,1015.1,0,-3, , 
2001 Ene 01,11:00,85,70,5.1,8.5,11.5,37,1015,0,-2, , 
2001 Ene 01,11:10,84,95,6.3,9.1,12,36,1014.9,0,-3, , 
2001 Ene 01,11:20,77,67,7,11.4,12.6,33,1014.8,0,-2, , 
2001 Ene 01,11:30,78,73,6.1,7.9,13,32,1014.8,0,-3, , 
2001 Ene 01,11:40,73,75,8.7,12,13.3,31,1014.7,0,-3, , 
2001 Ene 01,11:50,77,67,8.2,11.4,13.5,31,1014.5,0,-3, , 
2001 Ene 01,12:00,75,79,9.3,12.5,13.6,30,1014.3,0,-3,13.2,0
2001 Ene 01,12:10,71,73,10.3,13.1,13.7,30,1014.2,0,-3, , 
2001 Ene 01,12:20,73,77,9.5,12,13.8,30,1014.2,0,-3, , 
2001 Ene 01,12:30,102,60,4.4,8.5,13.5,31,1014.3,0,-5, , 
2001 Ene 01,12:40,198,274,3.2,5.6,12.6,33,1014.4,0,-6, , 
2001 Ene 01,12:50,297,269,2.4,4.5,11.5,36,1014.4,0,-6, , 
2001 Ene 01,13:00,52,77,6.1,10.2,11.5,34,1014.4,0,-3, , 
2001 Ene 01,13:10,61,57,7.3,10.8,13.2,31,1014.4,0,-3, , 
2001 Ene 01,13:20,55,86,4.8,9.1,12.7,35,1014.5,0,-5, , 
2001 Ene 01,13:30,359,35,3.1,6.2,11.4,37,1014.6,0,-5, , 
2001 Ene 01,13:40,38,40,6.4,8.5,11.3,35,1014.7,0,-3, , 
2001 Ene 01,13:50,41,39,5.4,6.8,11.8,34,1014.7,0,-3, , 
2001 Ene 01,14:00,30,34,5.1,6.2,12.2,32,1014.8,0,-3, , 
2001 Ene 01,14:10,15,327,4.5,6.2,12.3,32,1014.9,0,-4, , 
