Date,Time,Dir deg,WSMDir deg,WSK kph,WSMK kph,AvgTemp C,AvgRh %,AvgBP mbar,Rain mm,AvgSR W/m^2,Batt V,Spanel V
2004 Ene 01,0:00,316,309,14.7,18.9,17.6,52,1011.3,0,68,13.7,13.9
2004 Ene 01,0:10,337,338,12.9,20,16.9,57,1011.5,0,32, , 
2004 Ene 01,0:20,335,341,12.7,19.5,16.3,59,1011.6,0,22, , 
2004 Ene 01,0:30,334,342,12,17.2,16,61,1011.7,0,19, , 
2004 Ene 01,0:40,340,344,11.7,17.7,15.8,63,1011.9,0,28, , 
2004 Ene 01,0:50,342,339,13.2,17.2,15.7,64,1012,0,10, , 
2004 Ene 01,1:00,347,349,10.4,14.3,15.4,65,1012,0,0, , 
2004 Ene 01,1:10,347,345,6.8,12.5,15.2,65,1012.1,0,-4, , 
2004 Ene 01,1:20,347,345,5.8,11.4,15,66,1012.1,0,-4, , 
2004 Ene 01,1:30,358,341,1.8,5.6,14.8,66,1012.1,0,-5, , 
2004 Ene 01,1:40,358,33,2.1,6.2,14.7,66,1012.1,0,-5, , 
2004 Ene 01,1:50,353,345,1.7,2.2,14.5,67,1012.3,0,-5, , 
2004 Ene 01,2:00,349,345,0,0,14.1,68,1012.4,0,-5, , 
2004 Ene 01,2:10,7,345,0,0,13.6,70,1012.5,0,-5, , 
2004 Ene 01,2:20,341,345,0,0,13.1,72,1012.9,0,-5, , 
2004 Ene 01,2:30,308,345,0,0,12.6,74,1013.1,0,-6, , 
2004 Ene 01,2:40,246,261,1.6,2.2,12.1,76,1013.2,0,-5, , 
2004 Ene 01,2:50,264,261,0,0,11.7,78,1013.4,0,-5, , 
2004 Ene 01,3:00,293,261,0,0,11.3,80,1013.6,0,-4,13,0
2004 Ene 01,3:10,304,261,0,0,11,80,1013.6,0,-5, , 
2004 Ene 01,3:20,283,261,0,0,10.8,82,1013.9,0,-4, , 
2004 Ene 01,3:30,201,261,0,0,10.7,83,1014.1,0,-4, , 
2004 Ene 01,3:40,175,261,0,0,10.6,86,1014.2,0,-4, , 
2004 Ene 01,3:50,140,261,0,0,10.7,87,1014.3,0,-4, , 
2004 Ene 01,4:00,333,261,0,0,10.7,88,1014.6,0,-4, , 
2004 Ene 01,4:10,16,261,0,0,10.7,89,1014.8,0,-4, , 
2004 Ene 01,4:20,83,261,0,0,10.4,84,1014.9,0,-4, , 
2004 Ene 01,4:30,87,83,1.6,2.2,10.2,82,1015,0,-4, , 
2004 Ene 01,4:40,82,83,0,0,10.1,80,1015,0,-4, , 
2004 Ene 01,4:50,78,83,0,0,10,80,1015.1,0,-4, , 
2004 Ene 01,5:00,70,55,1.7,7.9,9.9,79,1015.2,0,-4, , 
2004 Ene 01,5:10,62,63,3.2,7.9,9.9,79,1015.4,0,-4, , 
2004 Ene 01,5:20,66,64,1.6,2.2,9.7,80,1015.6,0,-4, , 
2004 Ene 01,5:30,68,65,3.3,9.7,9.5,80,1015.7,0,-4, , 
2004 Ene 01,5:40,71,74,2.4,8.5,9.5,80,1015.8,0,-4, , 
2004 Ene 01,5:50,77,92,2.9,9.7,9.5,80,1015.7,0,-4, , 
2004 Ene 01,6:00,79,86,2.3,6.2,9.5,80,1015.7,0,-4,12.9,0
2004 Ene 01,6:10,74,77,1.6,2.2,9.5,80,1015.7,0,-4, , 
2004 Ene 01,6:20,74,67,4.2,7.9,9.5,80,1015.6,0,-4, , 
2004 Ene 01,6:30,78,69,5.3,9.1,9.7,79,1015.5,0,-4, , 
2004 Ene 01,6:40,80,74,4.7,7.9,9.6,79,1015.5,0,-4, , 
2004 Ene 01,6:50,84,79,4.4,9.1,9.3,81,1015.4,0,-4, , 
2004 Ene 01,7:00,77,80,5.4,8.5,9.2,81,1015.4,0,-4, , 
2004 Ene 01,7:10,81,80,0,6.2,9,81,1015.4,0,-4, , 
2004 Ene 01,7:20,77,72,6.6,10.2,8.9,83,1015.4,0,-4, , 
2004 Ene 01,7:30,81,100,8.2,10.8,8.9,82,1015.4,0,-3, , 
2004 Ene 01,7:40,79,81,6.9,9.1,8.8,82,1015.4,0,-4, , 
2004 Ene 01,7:50,77,74,6.6,9.1,8.7,84,1015.3,0,-4, , 
2004 Ene 01,8:00,85,86,8.5,12.5,8.7,84,1015.5,0,-4, , 
2004 Ene 01,8:10,82,88,7.2,10.2,8.6,84,1015.6,0,-4, , 
2004 Ene 01,8:20,90,105,4,8.5,8.5,84,1015.6,0,-4, , 
2004 Ene 01,8:30,87,79,2.8,6.2,8.3,86,1015.6,0,-4, , 
2004 Ene 01,8:40,86,86,3.9,8.5,8.4,86,1015.6,0,-4, , 
2004 Ene 01,8:50,83,82,1.9,6.2,8.6,85,1015.7,0,-4, , 
2004 Ene 01,9:00,78,82,0,0,8.7,85,1015.9,0,-4,12.9,0
2004 Ene 01,9:10,75,75,1.6,2.8,8.5,84,1016,0,-4, , 
2004 Ene 01,9:20,81,75,0,0,8.1,86,1016.1,0,-4, , 
2004 Ene 01,9:30,69,75,0,0,7.9,87,1016.2,0,-4, , 
2004 Ene 01,9:40,80,75,0,0,7.6,89,1016.2,0,-4, , 
2004 Ene 01,9:50,75,75,0,0,7.8,88,1016.1,0,-3, , 
2004 Ene 01,10:00,79,75,0,0,8,88,1016.1,0,-3, , 
2004 Ene 01,10:10,78,75,0,3.3,8.2,87,1016,0,-4, , 
2004 Ene 01,10:20,77,75,6,9.7,8.5,86,1016.1,0,-3, , 
2004 Ene 01,10:30,87,86,2.3,6.8,8.8,85,1016,0,-3, , 
2004 Ene 01,10:40,86,100,5.8,9.1,8.8,85,1015.9,0,-4, , 
2004 Ene 01,10:50,90,76,2.4,7.4,8.8,84,1015.9,0,-4, , 
2004 Ene 01,11:00,99,98,1.6,2.2,8.6,85,1015.9,0,-4, , 
2004 Ene 01,11:10,161,98,0,0,8.2,87,1015.8,0,-4, , 
