Date,Time,Dir deg,WSMDir deg,WSK,WSMK kph,AvgTemp C,AvgRh %,AvgBP mbar,Rain mm,AvgSR W/m^2,Batt V,Spanel V
2005 Ene 01,0:00,301,310,11.6,14.9,15.8,72,1013.8,0,76,13.6,13.9
2005 Ene 01,0:10,302,297,11.6,14.9,15.3,74,1013.8,0,55, , 
2005 Ene 01,0:20,305,310,10.4,13.7,15,77,1013.8,0,84, , 
2005 Ene 01,0:30,299,294,8.2,10.8,15,79,1013.9,0,51, , 
2005 Ene 01,0:40,304,303,7.1,9.7,14.8,80,1013.9,0,28, , 
2005 Ene 01,0:50,304,304,5.1,6.8,14.4,82,1013.8,0,6, , 
2005 Ene 01,1:00,304,304,5.3,7.4,13.8,85,1013.8,0,-1, , 
2005 Ene 01,1:10,304,304,4.9,6.2,13.4,88,1013.8,0,-4, , 
2005 Ene 01,1:20,304,304,5.8,7.4,13,89,1013.8,0,-4, , 
2005 Ene 01,1:30,304,304,4.5,6.2,12.8,90,1013.9,0,-5, , 
2005 Ene 01,1:40,304,304,2.8,3.9,12.3,92,1014.1,0,-5, , 
2005 Ene 01,1:50,304,304,1.9,2.8,11.9,94,1014.2,0,-5, , 
2005 Ene 01,2:00,304,304,1.9,3.3,11.7,94,1014.5,0,-4, , 
2005 Ene 01,2:10,304,304,1.8,3.9,11.4,95,1014.6,0,-4, , 
2005 Ene 01,2:20,304,304,3.2,6.2,11.4,96,1014.5,0,-4, , 
2005 Ene 01,2:30,304,304,4.5,6.8,11.7,96,1014.3,0,-4, , 
2005 Ene 01,2:40,304,304,3.6,5.1,11.8,94,1014.2,0,-4, , 
2005 Ene 01,2:50,304,304,4.3,5.6,11.5,95,1014.2,0,-4, , 
2005 Ene 01,3:00,304,304,5.7,7.4,11.3,96,1014.3,0,-4,13,0
2005 Ene 01,3:10,304,304,4.8,6.2,11.1,96,1014.4,0,-4, , 
2005 Ene 01,3:20,23,307,5.4,7.4,10.9,97,1014.4,0,-4, , 
2005 Ene 01,3:30,68,65,4.6,6.8,10.8,97,1014.4,0,-4, , 
2005 Ene 01,3:40,74,79,6.7,9.1,10.5,98,1014.5,0,-4, , 
2005 Ene 01,3:50,72,73,6.8,8.5,10.3,98,1014.7,0,-4, , 
2005 Ene 01,4:00,78,76,6.6,8.5,10.2,98,1014.8,0,-4, , 
2005 Ene 01,4:10,84,77,6.8,8.5,10.1,99,1014.8,0,-4, , 
2005 Ene 01,4:20,84,103,5.6,8.5,10,99,1014.9,0,-3, , 
2005 Ene 01,4:30,87,85,9.5,13.1,9.8,99,1014.8,0,-2, , 
2005 Ene 01,4:40,88,83,9.3,13.1,9.9,100,1014.8,0,-2, , 
2005 Ene 01,4:50,89,103,8.7,12,10,99,1014.7,0,-2, , 
2005 Ene 01,5:00,96,110,9,13.1,10,99,1014.7,0,-3, , 
2005 Ene 01,5:10,85,86,7.9,13.7,9.9,98,1014.7,0,-3, , 
2005 Ene 01,5:20,89,102,8.3,12.5,10,99,1014.7,0,-2, , 
